patient_id,fname,lname,address,city,st,zip,dob,six
1,Barbara,Donnelly,4033 Ella Street,Brisbane,CA,94005,2005-05-24,F
2,Rhonda,Christiansen,2128 Richards,Avenue Stockton,CA,95202,2010-08-01,F
3,Chad,Johnson,4188 Better Street,Kansas City,KS,66210,2016-11-29,M
4,Eddie,Alvarez,2532 Maple Street,Anaheim,CA,92805,2015-11-29,M
5,Tina,Drake,4368 Holt Street,West Palm Beach,FL,33401,2011-12-30,F
6,Oscar,Miranda,4155 Willison Street,Columbus,GA,31901,2005-12-18,M
7,Benjamin,Crumrine,3973 Spring Street,Champaign,IL,61820,2004-12-28,M
8,Shelia,Jaquez,897 Wildwood Street,Youngstown,OH,44503,2018-08-25,F
9,Pearlie,Stromberg,3139 Boggess Street,Wichita Falls,TX,76301,2001-03-24,F
10,Tressie,Nielsen,4492 Pyramid Valley Road,Garrison,IA,52229,2000-06-09,F
